Tanggal,Harga
2023-01-01,11720.0
2023-01-02,11720.0
2023-01-03,11660.0
2023-01-04,11840.0
2023-01-05,11790.0
2023-01-06,12040.0
2023-01-07,11890.0
2023-01-08,11960.0
2023-01-09,11720.0
2023-01-10,11980.0
2023-01-11,11840.0
2023-01-12,11980.0
2023-01-13,11970.0
2023-01-14,11970.0
2023-01-15,11970.0
2023-01-16,11970.0
2023-01-17,11970.0
2023-01-18,11970.0
2023-01-19,11970.0
2023-01-20,11970.0
2023-01-21,12050.0
2023-01-22,11970.0
2023-01-23,11840.0
2023-01-24,11970.0
2023-01-25,11970.0
2023-01-26,11970.0
2023-01-27,12040.0
2023-01-28,11970.0
2023-01-29,11970.0
2023-01-30,11970.0
2023-01-31,11970.0
2023-02-01,11980.0
2023-02-02,11970.0
2023-02-03,11960.0
2023-02-04,12020.0
2023-02-05,12020.0
2023-02-06,12210.0
2023-02-07,12150.0
2023-02-08,12210.0
2023-02-09,12280.0
2023-02-10,12030.0
2023-02-11,12210.0
2023-02-12,12220.0
2023-02-13,12280.0
2023-02-14,12410.0
2023-02-15,12350.0
2023-02-16,12350.0
2023-02-17,12360.0
2023-02-18,12390.0
2023-02-19,12390.0
2023-02-20,12280.0
2023-02-21,12320.0
2023-02-22,12360.0
2023-02-23,12250.0
2023-02-24,12430.0
2023-02-25,12240.0
2023-02-26,12190.0
2023-02-27,12190.0
2023-02-28,12190.0
2023-03-01,12190.0
2023-03-02,12390.0
2023-03-03,12310.0
2023-03-04,12080.0
2023-03-05,12460.0
2023-03-06,12460.0
2023-03-07,12390.0
2023-03-08,12390.0
2023-03-09,12460.0
2023-03-10,12390.0
2023-03-11,12390.0
2023-03-12,12460.0
2023-03-13,12520.0
2023-03-14,12070.0
2023-03-15,12220.0
2023-03-16,12220.0
2023-03-17,12530.0
2023-03-18,12530.0
2023-03-19,12530.0
2023-03-20,12530.0
2023-03-21,12410.0
2023-03-22,12350.0
2023-03-23,12350.0
2023-03-24,12410.0
2023-03-25,12270.0
2023-03-26,12270.0
2023-03-27,12270.0
2023-03-28,12270.0
2023-03-29,12220.0
2023-03-30,12270.0
2023-03-31,12350.0
2023-04-01,12410.0
2023-04-02,12410.0
2023-04-03,12410.0
2023-04-04,12350.0
2023-04-05,12410.0
2023-04-06,12390.0
2023-04-07,12220.0
2023-04-08,12340.0
2023-04-09,12340.0
2023-04-10,12340.0
2023-04-11,12340.0
2023-04-12,12660.0
2023-04-13,12660.0
2023-04-14,12830.0
2023-04-15,12590.0
2023-04-16,12520.0
2023-04-17,12450.0
2023-04-18,12560.0
2023-04-19,12560.0
2023-04-20,12380.0
2023-04-21,12450.0
2023-04-22,12390.0
2023-04-23,12450.0
2023-04-24,12300.0
2023-04-25,12450.0
2023-04-26,12450.0
2023-04-27,12510.0
2023-04-28,12450.0
2023-04-29,12310.0
2023-04-30,12310.0
2023-05-01,12310.0
2023-05-02,12310.0
2023-05-03,12310.0
2023-05-04,12310.0
2023-05-05,12630.0
2023-05-06,12630.0
2023-05-07,12700.0
2023-05-08,12630.0
2023-05-09,12630.0
2023-05-10,12570.0
2023-05-11,12630.0
2023-05-12,12690.0
2023-05-13,12630.0
2023-05-14,12630.0
