Tanggal,Harga
2023-01-01,12160.0
2023-01-02,12060.0
2023-01-03,12130.0
2023-01-04,12150.0
2023-01-05,12140.0
2023-01-06,12170.0
2023-01-07,12180.0
2023-01-08,12260.0
2023-01-09,12090.0
2023-01-10,12240.0
2023-01-11,12220.0
2023-01-12,12290.0
2023-01-13,12310.0
2023-01-14,12280.0
2023-01-15,12260.0
2023-01-16,12310.0
2023-01-17,12350.0
2023-01-18,12370.0
2023-01-19,12370.0
2023-01-20,12420.0
2023-01-21,12400.0
2023-01-22,12380.0
2023-01-23,12400.0
2023-01-24,12440.0
2023-01-25,12450.0
2023-01-26,12510.0
2023-01-27,12520.0
2023-01-28,12480.0
2023-01-29,12510.0
2023-01-30,12530.0
2023-01-31,12510.0
2023-02-01,12560.0
2023-02-02,12590.0
2023-02-03,12590.0
2023-02-04,12630.0
2023-02-05,12600.0
2023-02-06,12650.0
2023-02-07,12670.0
2023-02-08,12690.0
2023-02-09,12650.0
2023-02-10,12670.0
2023-02-11,12690.0
2023-02-12,12730.0
2023-02-13,12760.0
2023-02-14,12770.0
2023-02-15,12610.0
2023-02-16,12750.0
2023-02-17,12810.0
2023-02-18,12800.0
2023-02-19,12690.0
2023-02-20,12740.0
2023-02-21,12740.0
2023-02-22,12720.0
2023-02-23,12720.0
2023-02-24,12670.0
2023-02-25,12710.0
2023-02-26,12730.0
2023-02-27,12620.0
2023-02-28,12630.0
2023-03-01,12560.0
2023-03-02,12560.0
2023-03-03,12580.0
2023-03-04,12520.0
2023-03-05,12510.0
2023-03-06,12550.0
2023-03-07,12530.0
2023-03-08,12510.0
2023-03-09,12560.0
2023-03-10,12480.0
2023-03-11,12450.0
2023-03-12,12520.0
2023-03-13,12600.0
2023-03-14,12580.0
2023-03-15,12640.0
2023-03-16,12520.0
2023-03-17,12620.0
2023-03-18,12570.0
2023-03-19,12560.0
2023-03-20,12500.0
2023-03-21,12490.0
2023-03-22,12480.0
2023-03-23,12440.0
2023-03-24,12570.0
2023-03-25,12500.0
2023-03-26,12510.0
2023-03-27,12570.0
