Tanggal,Harga
2023-01-01,10780.0
2023-01-02,10970.0
2023-01-03,10960.0
2023-01-04,10870.0
2023-01-05,10970.0
2023-01-06,10980.0
2023-01-07,10980.0
2023-01-08,10890.0
2023-01-09,11010.0
2023-01-10,11000.0
2023-01-11,11160.0
2023-01-12,11080.0
2023-01-13,11050.0
2023-01-14,11130.0
2023-01-15,11100.0
2023-01-16,11080.0
2023-01-17,11070.0
2023-01-18,11060.0
2023-01-19,11090.0
2023-01-20,11110.0
2023-01-21,11130.0
2023-01-22,11100.0
2023-01-23,11160.0
2023-01-24,11190.0
2023-01-25,11210.0
2023-01-26,11230.0
2023-01-27,11170.0
2023-01-28,11240.0
2023-01-29,11250.0
2023-01-30,11250.0
2023-01-31,11300.0
2023-02-01,11390.0
2023-02-02,11370.0
2023-02-03,11390.0
2023-02-04,11370.0
2023-02-05,11300.0
2023-02-06,11390.0
2023-02-07,11530.0
2023-02-08,11600.0
2023-02-09,11670.0
2023-02-10,11660.0
2023-02-11,11730.0
2023-02-12,11670.0
2023-02-13,11730.0
2023-02-14,11700.0
2023-02-15,11680.0
2023-02-16,11710.0
2023-02-17,11670.0
2023-02-18,11690.0
2023-02-19,11660.0
2023-02-20,11640.0
2023-02-21,11620.0
2023-02-22,11570.0
2023-02-23,11590.0
2023-02-24,11530.0
2023-02-25,11540.0
2023-02-26,11540.0
2023-02-27,11500.0
2023-02-28,11480.0
2023-03-01,11420.0
2023-03-02,11430.0
2023-03-03,11410.0
2023-03-04,11370.0
2023-03-05,11360.0
2023-03-06,11300.0
2023-03-07,11270.0
2023-03-08,11170.0
2023-03-09,11270.0
2023-03-10,11230.0
2023-03-11,11250.0
2023-03-12,11240.0
2023-03-13,11300.0
2023-03-14,11340.0
2023-03-15,11310.0
2023-03-16,11280.0
2023-03-17,11330.0
2023-03-18,11320.0
2023-03-19,11320.0
2023-03-20,11410.0
2023-03-21,11430.0
2023-03-22,11420.0
2023-03-23,11480.0
2023-03-24,11470.0
2023-03-25,11470.0
2023-03-26,11520.0
2023-03-27,11490.0
2023-03-28,11490.0
2023-03-29,11520.0
2023-03-30,11440.0
2023-03-31,11510.0
2023-04-01,11440.0
2023-04-02,11460.0
2023-04-03,11550.0
2023-04-04,11470.0
2023-04-05,11430.0
2023-04-06,11360.0
2023-04-07,11470.0
2023-04-08,11450.0
2023-04-09,11440.0
2023-04-10,11480.0
2023-04-11,11500.0
2023-04-12,11450.0
2023-04-13,11490.0
2023-04-14,11450.0
2023-04-15,11430.0
2023-04-16,11420.0
2023-04-17,11400.0
2023-04-18,11410.0
2023-04-19,11340.0
2023-04-20,11430.0
2023-04-21,11410.0
2023-04-22,11420.0
2023-04-23,11370.0
2023-04-24,11370.0
2023-04-25,11370.0
2023-04-26,11380.0
2023-04-27,11410.0
2023-04-28,11400.0
2023-04-29,11370.0
2023-04-30,11380.0
2023-05-01,11390.0
2023-05-02,11410.0
2023-05-03,11400.0
2023-05-04,11390.0
2023-05-05,11350.0
2023-05-06,11400.0
2023-05-07,11410.0
2023-05-08,11370.0
2023-05-09,11340.0
2023-05-10,11340.0
2023-05-11,11330.0
2023-05-12,11320.0
2023-05-13,11330.0
2023-05-14,11350.0
2023-05-15,11300.0
2023-05-16,11300.0
2023-05-17,11360.0
2023-05-18,11340.0
2023-05-19,11310.0
2023-05-20,11310.0
2023-05-21,11350.0
2023-05-22,11330.0
2023-05-23,11300.0
2023-05-24,11350.0
2023-05-25,11300.0
2023-05-26,11280.0
2023-05-27,11310.0
2023-05-28,11280.0
2023-05-29,11290.0
2023-05-30,11250.0
2023-05-31,11270.0
2023-06-01,11270.0
2023-06-02,11300.0
2023-06-03,11290.0
2023-06-04,11320.0
2023-06-05,11290.0
2023-06-06,11280.0
2023-06-07,11270.0
2023-06-08,11310.0
2023-06-09,11280.0
2023-06-10,11280.0
2023-06-11,11270.0
2023-06-12,11310.0
2023-06-13,11320.0
2023-06-14,11330.0
2023-06-15,11310.0
2023-06-16,11330.0
2023-06-17,11350.0
2023-06-18,11380.0
2023-06-19,11340.0
2023-06-20,11310.0
2023-06-21,11290.0
2023-06-22,11340.0
2023-06-23,11280.0
2023-06-24,11330.0
2023-06-25,11320.0
2023-06-26,11320.0
2023-06-27,11160.0
2023-06-28,11210.0
2023-06-29,11220.0
2023-06-30,11240.0
2023-07-01,11300.0
2023-07-02,11220.0
2023-07-03,11210.0
2023-07-04,11260.0
2023-07-05,11200.0
2023-07-06,11240.0
2023-07-07,11240.0
2023-07-08,11240.0
2023-07-09,11240.0
2023-07-10,11270.0
2023-07-11,11270.0
2023-07-12,11220.0
2023-07-13,11280.0
2023-07-14,11200.0
2023-07-15,11240.0
2023-07-16,11200.0
2023-07-17,11270.0
2023-07-18,11200.0
2023-07-19,11220.0
2023-07-20,11240.0
2023-07-21,11270.0
2023-07-22,11240.0
2023-07-23,11220.0
2023-07-24,11270.0
2023-07-25,11270.0
2023-07-26,11230.0
2023-07-27,11280.0
2023-07-28,11250.0
2023-07-29,11240.0
2023-07-30,11290.0
2023-07-31,11200.0
2023-08-01,11260.0
2023-08-02,11250.0
2023-08-03,11230.0
2023-08-04,11300.0
2023-08-05,11260.0
2023-08-06,11270.0
2023-08-07,11280.0
2023-08-08,11280.0
2023-08-09,11250.0
2023-08-10,11260.0
2023-08-11,11280.0
2023-08-12,11290.0
2023-08-13,11240.0
2023-08-14,11310.0
2023-08-15,11390.0
2023-08-16,11400.0
2023-08-17,11410.0
2023-08-18,11380.0
2023-08-19,11440.0
2023-08-20,11520.0
2023-08-21,11470.0
2023-08-22,11500.0
2023-08-23,11520.0
2023-08-24,11540.0
2023-08-25,11600.0
2023-08-26,11580.0
2023-08-27,11610.0
2023-08-28,11770.0
2023-08-29,11750.0
2023-08-30,11860.0
2023-08-31,11940.0
2023-09-01,11850.0
2023-09-02,11890.0
2023-09-03,11980.0
