Tanggal,Harga
2023-01-01,12600.0
2023-01-02,12600.0
2023-01-03,12600.0
2023-01-04,12500.0
2023-01-05,12500.0
2023-01-06,12500.0
2023-01-07,12500.0
2023-01-08,12500.0
2023-01-09,12380.0
2023-01-10,12500.0
2023-01-11,12500.0
2023-01-12,12500.0
2023-01-13,12500.0
2023-01-14,12500.0
2023-01-15,12760.0
2023-01-16,12500.0
2023-01-17,12520.0
2023-01-18,12500.0
2023-01-19,12600.0
2023-01-20,12600.0
2023-01-21,12610.0
2023-01-22,12610.0
2023-01-23,12610.0
2023-01-24,12610.0
2023-01-25,12620.0
2023-01-26,12610.0
2023-01-27,12620.0
2023-01-28,12620.0
2023-01-29,12620.0
2023-01-30,12620.0
2023-01-31,12620.0
2023-02-01,12620.0
2023-02-02,12730.0
2023-02-03,12730.0
2023-02-04,12730.0
2023-02-05,12730.0
2023-02-06,12730.0
2023-02-07,12750.0
2023-02-08,12750.0
2023-02-09,12750.0
2023-02-10,12750.0
2023-02-11,12750.0
2023-02-12,12750.0
2023-02-13,12540.0
2023-02-14,12750.0
2023-02-15,12750.0
2023-02-16,12750.0
2023-02-17,12670.0
2023-02-18,12650.0
2023-02-19,12670.0
2023-02-20,12740.0
2023-02-21,12740.0
2023-02-22,12780.0
2023-02-23,12780.0
2023-02-24,12780.0
2023-02-25,12780.0
2023-02-26,12780.0
2023-02-27,12690.0
2023-02-28,12780.0
2023-03-01,12640.0
2023-03-02,12620.0
2023-03-03,12620.0
2023-03-04,12620.0
2023-03-05,12640.0
2023-03-06,12640.0
2023-03-07,12640.0
2023-03-08,12640.0
2023-03-09,12610.0
2023-03-10,12610.0
2023-03-11,12610.0
2023-03-12,12610.0
2023-03-13,12800.0
2023-03-14,12610.0
2023-03-15,12610.0
2023-03-16,12610.0
2023-03-17,12610.0
2023-03-18,12610.0
2023-03-19,12510.0
2023-03-20,12610.0
2023-03-21,12610.0
2023-03-22,12610.0
2023-03-23,12610.0
2023-03-24,12580.0
2023-03-25,12580.0
2023-03-26,12580.0
2023-03-27,12580.0
2023-03-28,12580.0
2023-03-29,12650.0
2023-03-30,12650.0
2023-03-31,12670.0
2023-04-01,12670.0
2023-04-02,12670.0
2023-04-03,12670.0
2023-04-04,12670.0
2023-04-05,12600.0
2023-04-06,12600.0
2023-04-07,12600.0
2023-04-08,12450.0
2023-04-09,12600.0
2023-04-10,12600.0
2023-04-11,12500.0
2023-04-12,12500.0
2023-04-13,12600.0
2023-04-14,12600.0
2023-04-15,12600.0
2023-04-16,12600.0
2023-04-17,12600.0
2023-04-18,12600.0
2023-04-19,12600.0
2023-04-20,12450.0
2023-04-21,12600.0
2023-04-22,12500.0
2023-04-23,12600.0
2023-04-24,12600.0
2023-04-25,12600.0
2023-04-26,12600.0
2023-04-27,12600.0
2023-04-28,12600.0
2023-04-29,12600.0
2023-04-30,12600.0
2023-05-01,12600.0
2023-05-02,12600.0
2023-05-03,12600.0
2023-05-04,12600.0
2023-05-05,12600.0
2023-05-06,12600.0
2023-05-07,12600.0
2023-05-08,12600.0
2023-05-09,12600.0
2023-05-10,12600.0
2023-05-11,12600.0
2023-05-12,12600.0
2023-05-13,12600.0
2023-05-14,12600.0
2023-05-15,12600.0
2023-05-16,12600.0
2023-05-17,12770.0
2023-05-18,12770.0
2023-05-19,12770.0
2023-05-20,12590.0
2023-05-21,12770.0
2023-05-22,12670.0
2023-05-23,12670.0
2023-05-24,12480.0
2023-05-25,12480.0
2023-05-26,12480.0
2023-05-27,12500.0
2023-05-28,12500.0
2023-05-29,12500.0
2023-05-30,12500.0
2023-05-31,12500.0
2023-06-01,12500.0
2023-06-02,12500.0
2023-06-03,12500.0
2023-06-04,12380.0
2023-06-05,12500.0
2023-06-06,12500.0
2023-06-07,12500.0
2023-06-08,12500.0
2023-06-09,12500.0
2023-06-10,12500.0
2023-06-11,12500.0
2023-06-12,12500.0
2023-06-13,12500.0
2023-06-14,12540.0
2023-06-15,12390.0
2023-06-16,12540.0
2023-06-17,12540.0
2023-06-18,12540.0
2023-06-19,12540.0
2023-06-20,12540.0
