Tanggal,Provinsi,Nama Komoditas,Harga (Rp)
01/01/2023,DKI Jakarta,Beras Premium,12860.0
01/01/2023,Jawa Barat,Beras Premium,12160.0
01/01/2023,Jawa Tengah,Beras Premium,12270.0
01/01/2023,D.I Yogyakarta,Beras Premium,12600.0
01/01/2023,Jawa Timur,Beras Premium,12250.0
01/01/2023,Banten,Beras Premium,11720.0
02/01/2023,DKI Jakarta,Beras Premium,12860.0
02/01/2023,Jawa Barat,Beras Premium,12060.0
02/01/2023,Jawa Tengah,Beras Premium,12390.0
02/01/2023,D.I Yogyakarta,Beras Premium,12600.0
02/01/2023,Jawa Timur,Beras Premium,12130.0
02/01/2023,Banten,Beras Premium,11720.0
03/01/2023,DKI Jakarta,Beras Premium,12860.0
03/01/2023,Jawa Barat,Beras Premium,12130.0
03/01/2023,Jawa Tengah,Beras Premium,12600.0
03/01/2023,D.I Yogyakarta,Beras Premium,12600.0
03/01/2023,Jawa Timur,Beras Premium,12060.0
03/01/2023,Banten,Beras Premium,11660.0
04/01/2023,DKI Jakarta,Beras Premium,12860.0
04/01/2023,Jawa Barat,Beras Premium,12150.0
04/01/2023,Jawa Tengah,Beras Premium,12320.0
04/01/2023,D.I Yogyakarta,Beras Premium,12500.0
04/01/2023,Jawa Timur,Beras Premium,12150.0
04/01/2023,Banten,Beras Premium,11840.0
05/01/2023,DKI Jakarta,Beras Premium,13040.0
05/01/2023,Jawa Barat,Beras Premium,12140.0
05/01/2023,Jawa Tengah,Beras Premium,12360.0
05/01/2023,D.I Yogyakarta,Beras Premium,12500.0
05/01/2023,Jawa Timur,Beras Premium,12250.0
05/01/2023,Banten,Beras Premium,11790.0
06/01/2023,DKI Jakarta,Beras Premium,12860.0
06/01/2023,Jawa Barat,Beras Premium,12170.0
06/01/2023,Jawa Tengah,Beras Premium,12440.0
06/01/2023,D.I Yogyakarta,Beras Premium,12500.0
06/01/2023,Jawa Timur,Beras Premium,12180.0
06/01/2023,Banten,Beras Premium,12040.0
07/01/2023,DKI Jakarta,Beras Premium,12860.0
07/01/2023,Jawa Barat,Beras Premium,12180.0
07/01/2023,Jawa Tengah,Beras Premium,12430.0
07/01/2023,D.I Yogyakarta,Beras Premium,12500.0
07/01/2023,Jawa Timur,Beras Premium,12170.0
07/01/2023,Banten,Beras Premium,11890.0
08/01/2023,DKI Jakarta,Beras Premium,12480.0
08/01/2023,Jawa Barat,Beras Premium,12260.0
08/01/2023,Jawa Tengah,Beras Premium,12370.0
08/01/2023,D.I Yogyakarta,Beras Premium,12500.0
08/01/2023,Jawa Timur,Beras Premium,12270.0
08/01/2023,Banten,Beras Premium,11960.0
09/01/2023,Jawa Barat,Beras Premium,12090.0
09/01/2023,Jawa Tengah,Beras Premium,12500.0
09/01/2023,D.I Yogyakarta,Beras Premium,12380.0
09/01/2023,Jawa Timur,Beras Premium,12310.0
09/01/2023,Banten,Beras Premium,11720.0
10/01/2023,DKI Jakarta,Beras Premium,12480.0
10/01/2023,Jawa Barat,Beras Premium,12240.0
10/01/2023,Jawa Tengah,Beras Premium,12490.0
10/01/2023,D.I Yogyakarta,Beras Premium,12500.0
