Tanggal,Provinsi,Komoditas (Rp),Harga
01/01/2023,Aceh,Beras Premium,12370.0
01/01/2023,Aceh,Beras Medium,11250.0
01/01/2023,Aceh,Bawang Merah,31930.0
01/01/2023,Aceh,Bawang Putih Bonggol,25040.0
01/01/2023,Aceh,Cabai Rawit Merah,
01/01/2023,Sumatera Utara,Beras Premium,12890.0
01/01/2023,Sumatera Utara,Beras Medium,11710.0
01/01/2023,Sumatera Utara,Bawang Merah,31120.0
01/01/2023,Sumatera Utara,Bawang Putih Bonggol,26820.0
01/01/2023,Sumatera Utara,Cabai Rawit Merah,53830.0
01/01/2023,Sumatera Barat,Beras Premium,15380.0
01/01/2023,Sumatera Barat,Beras Medium,13420.0
01/01/2023,Sumatera Barat,Bawang Merah,24730.0
01/01/2023,Sumatera Barat,Bawang Putih Bonggol,22600.0
01/01/2023,Sumatera Barat,Cabai Rawit Merah,57960.0
01/01/2023,Riau,Beras Premium,15360.0
01/01/2023,Riau,Beras Medium,13390.0
01/01/2023,Riau,Bawang Merah,30690.0
01/01/2023,Riau,Bawang Putih Bonggol,24970.0
01/01/2023,Riau,Cabai Rawit Merah,54850.0
01/01/2023,Jambi,Beras Premium,13270.0
01/01/2023,Jambi,Beras Medium,11080.0
01/01/2023,Jambi,Bawang Merah,25410.0
01/01/2023,Jambi,Bawang Putih Bonggol,24160.0
01/01/2023,Jambi,Cabai Rawit Merah,54820.0
01/01/2023,Sumatera Selatan,Beras Premium,12190.0
01/01/2023,Sumatera Selatan,Beras Medium,10790.0
01/01/2023,Sumatera Selatan,Bawang Merah,34980.0
01/01/2023,Sumatera Selatan,Bawang Putih Bonggol,24500.0
01/01/2023,Sumatera Selatan,Cabai Rawit Merah,55370.0
01/01/2023,Bengkulu,Beras Premium,12810.0
01/01/2023,Bengkulu,Beras Medium,11220.0
01/01/2023,Bengkulu,Bawang Merah,34870.0
01/01/2023,Bengkulu,Bawang Putih Bonggol,24660.0
01/01/2023,Bengkulu,Cabai Rawit Merah,48960.0
01/01/2023,Lampung,Beras Premium,12210.0
01/01/2023,Lampung,Beras Medium,10910.0
01/01/2023,Lampung,Bawang Merah,32550.0
01/01/2023,Lampung,Bawang Putih Bonggol,23080.0
01/01/2023,Lampung,Cabai Rawit Merah,51850.0
01/01/2023,Kepulauan Bangka Belitung,Beras Premium,13060.0
01/01/2023,Kepulauan Bangka Belitung,Beras Medium,10720.0
01/01/2023,Kepulauan Bangka Belitung,Bawang Merah,41080.0
01/01/2023,Kepulauan Bangka Belitung,Bawang Putih Bonggol,26910.0
01/01/2023,Kepulauan Bangka Belitung,Cabai Rawit Merah,77080.0
01/01/2023,Kepulauan Riau,Beras Premium,14480.0
01/01/2023,Kepulauan Riau,Beras Medium,13080.0
01/01/2023,Kepulauan Riau,Bawang Merah,42800.0
01/01/2023,Kepulauan Riau,Bawang Putih Bonggol,26910.0
01/01/2023,Kepulauan Riau,Cabai Rawit Merah,72070.0
01/01/2023,DKI Jakarta,Beras Premium,12860.0
01/01/2023,DKI Jakarta,Beras Medium,10600.0
01/01/2023,DKI Jakarta,Bawang Merah,39370.0
01/01/2023,DKI Jakarta,Bawang Putih Bonggol,30240.0
01/01/2023,DKI Jakarta,Cabai Rawit Merah,56250.0
01/01/2023,Jawa Barat,Beras Premium,12160.0
01/01/2023,Jawa Barat,Beras Medium,10730.0
01/01/2023,Jawa Barat,Bawang Merah,31750.0
01/01/2023,Jawa Barat,Bawang Putih Bonggol,25370.0
01/01/2023,Jawa Barat,Cabai Rawit Merah,58600.0
01/01/2023,Jawa Tengah,Beras Premium,12270.0
01/01/2023,Jawa Tengah,Beras Medium,10780.0
01/01/2023,Jawa Tengah,Bawang Merah,32960.0
01/01/2023,Jawa Tengah,Bawang Putih Bonggol,22410.0
01/01/2023,Jawa Tengah,Cabai Rawit Merah,48170.0
01/01/2023,D.I Yogyakarta,Beras Premium,12600.0
01/01/2023,D.I Yogyakarta,Beras Medium,11390.0
01/01/2023,D.I Yogyakarta,Bawang Merah,32660.0
01/01/2023,D.I Yogyakarta,Bawang Putih Bonggol,21610.0
01/01/2023,D.I Yogyakarta,Cabai Rawit Merah,52890.0
01/01/2023,Jawa Timur,Beras Premium,12250.0
01/01/2023,Jawa Timur,Beras Medium,10880.0
01/01/2023,Jawa Timur,Bawang Merah,31740.0
01/01/2023,Jawa Timur,Bawang Putih Bonggol,21490.0
01/01/2023,Jawa Timur,Cabai Rawit Merah,52220.0
01/01/2023,Banten,Beras Premium,11720.0
01/01/2023,Banten,Beras Medium,10690.0
01/01/2023,Banten,Bawang Merah,34960.0
01/01/2023,Banten,Bawang Putih Bonggol,26540.0
01/01/2023,Banten,Cabai Rawit Merah,63760.0
01/01/2023,Bali,Beras Premium,12880.0
01/01/2023,Bali,Beras Medium,11830.0
01/01/2023,Bali,Bawang Merah,31410.0
01/01/2023,Bali,Bawang Putih Bonggol,21860.0
01/01/2023,Bali,Cabai Rawit Merah,62090.0
01/01/2023,Nusa Tenggara Barat,Beras Premium,11210.0
01/01/2023,Nusa Tenggara Barat,Beras Medium,10060.0
01/01/2023,Nusa Tenggara Barat,Bawang Merah,33720.0
01/01/2023,Nusa Tenggara Barat,Bawang Putih Bonggol,24260.0
01/01/2023,Nusa Tenggara Barat,Cabai Rawit Merah,69190.0
01/01/2023,Nusa Tenggara Timur,Beras Premium,12400.0
01/01/2023,Nusa Tenggara Timur,Beras Medium,10590.0
